steer_with,total_samples,cat,lion,panda,dog,other
v_teacher_cat,2568,0.04672897196261682,0.0,0.06230529595015576,0.0027258566978193145,0.8882398753894081
v_teacher_lion,2630,0.0,0.13193916349809887,0.0155893536121673,0.0,0.8524714828897338
v_teacher_panda,2919,0.0,0.0,0.30421377183967113,0.0,0.6957862281603289
v_mean_trait,2534,0.003551696921862668,0.009471191791633781,0.09234411996842937,0.0,0.8946329913180742
J_cat (raw),2218,0.0,0.0,0.0031559963931469793,0.0,0.996844003606853
J_cat - J_dog,4724,0.0,0.0,0.0,0.0,1.0
random (matched norm),4971,0.0,0.08750754375377187,0.44739489036411184,0.11909072621202978,0.3460068396700865
